model;forecast_date;state_date;param_name;param_value
kalman_tvp;2018-12-31;2018-09-30;q;0.001
kalman_tvp;2019-03-31;2018-12-31;q;0.0001
kalman_tvp;2019-06-30;2019-03-31;q;1e-05
kalman_tvp;2019-09-30;2019-06-30;q;0.0001
kalman_tvp;2019-12-31;2019-09-30;q;0.0001
kalman_tvp;2020-03-31;2019-12-31;q;1e-05
kalman_tvp;2020-06-30;2020-03-31;q;1e-05
kalman_tvp;2020-09-30;2020-06-30;q;0.0001
kalman_tvp;2020-12-31;2020-09-30;q;1e-05
kalman_tvp;2021-03-31;2020-12-31;q;1e-05
kalman_tvp;2021-06-30;2021-03-31;q;0.0001
kalman_tvp;2021-09-30;2021-06-30;q;0.0001
kalman_tvp;2021-12-31;2021-09-30;q;1e-05
kalman_tvp;2022-03-31;2021-12-31;q;0.001
kalman_tvp;2022-06-30;2022-03-31;q;0.001
kalman_tvp;2022-09-30;2022-06-30;q;0.0001
kalman_tvp;2022-12-31;2022-09-30;q;1e-05
kalman_tvp;2023-03-31;2022-12-31;q;0.0001
kalman_tvp;2023-06-30;2023-03-31;q;0.001
kalman_tvp;2023-09-30;2023-06-30;q;0.001
kalman_tvp;2023-12-31;2023-09-30;q;0.001
kalman_tvp;2024-03-31;2023-12-31;q;1e-05
kalman_tvp;2024-06-30;2024-03-31;q;1e-05
kalman_tvp;2024-09-30;2024-06-30;q;1e-05
kalman_tvp;2024-12-31;2024-09-30;q;1e-05
kalman_tvp;2025-03-31;2024-12-31;q;1e-05
kalman_tvp;2025-06-30;2025-03-31;q;1e-05
kalman_tvp;2025-09-30;2025-06-30;q;1e-05
ols;2018-12-31;2018-09-30;none;
ols;2019-03-31;2018-12-31;none;
ols;2019-06-30;2019-03-31;none;
ols;2019-09-30;2019-06-30;none;
ols;2019-12-31;2019-09-30;none;
ols;2020-03-31;2019-12-31;none;
ols;2020-06-30;2020-03-31;none;
ols;2020-09-30;2020-06-30;none;
ols;2020-12-31;2020-09-30;none;
ols;2021-03-31;2020-12-31;none;
ols;2021-06-30;2021-03-31;none;
ols;2021-09-30;2021-06-30;none;
ols;2021-12-31;2021-09-30;none;
ols;2022-03-31;2021-12-31;none;
ols;2022-06-30;2022-03-31;none;
ols;2022-09-30;2022-06-30;none;
ols;2022-12-31;2022-09-30;none;
ols;2023-03-31;2022-12-31;none;
ols;2023-06-30;2023-03-31;none;
ols;2023-09-30;2023-06-30;none;
ols;2023-12-31;2023-09-30;none;
ols;2024-03-31;2023-12-31;none;
ols;2024-06-30;2024-03-31;none;
ols;2024-09-30;2024-06-30;none;
ols;2024-12-31;2024-09-30;none;
ols;2025-03-31;2024-12-31;none;
ols;2025-06-30;2025-03-31;none;
ols;2025-09-30;2025-06-30;none;
ridge;2018-12-31;2018-09-30;alpha;100.0
ridge;2019-03-31;2018-12-31;alpha;100.0
ridge;2019-06-30;2019-03-31;alpha;100.0
ridge;2019-09-30;2019-06-30;alpha;100.0
ridge;2019-12-31;2019-09-30;alpha;100.0
ridge;2020-03-31;2019-12-31;alpha;0.0001
ridge;2020-06-30;2020-03-31;alpha;1.0
ridge;2020-09-30;2020-06-30;alpha;10.0
ridge;2020-12-31;2020-09-30;alpha;100.0
ridge;2021-03-31;2020-12-31;alpha;100.0
ridge;2021-06-30;2021-03-31;alpha;100.0
ridge;2021-09-30;2021-06-30;alpha;100.0
ridge;2021-12-31;2021-09-30;alpha;100.0
ridge;2022-03-31;2021-12-31;alpha;100.0
ridge;2022-06-30;2022-03-31;alpha;100.0
ridge;2022-09-30;2022-06-30;alpha;100.0
ridge;2022-12-31;2022-09-30;alpha;100.0
ridge;2023-03-31;2022-12-31;alpha;100.0
ridge;2023-06-30;2023-03-31;alpha;0.0001
ridge;2023-09-30;2023-06-30;alpha;0.0001
ridge;2023-12-31;2023-09-30;alpha;100.0
ridge;2024-03-31;2023-12-31;alpha;100.0
ridge;2024-06-30;2024-03-31;alpha;100.0
ridge;2024-09-30;2024-06-30;alpha;100.0
ridge;2024-12-31;2024-09-30;alpha;100.0
ridge;2025-03-31;2024-12-31;alpha;100.0
ridge;2025-06-30;2025-03-31;alpha;100.0
ridge;2025-09-30;2025-06-30;alpha;100.0
lasso;2018-12-31;2018-09-30;alpha;0.1
lasso;2019-03-31;2018-12-31;alpha;0.1
lasso;2019-06-30;2019-03-31;alpha;0.1
lasso;2019-09-30;2019-06-30;alpha;0.1
lasso;2019-12-31;2019-09-30;alpha;0.1
lasso;2020-03-31;2019-12-31;alpha;1e-05
lasso;2020-06-30;2020-03-31;alpha;1e-05
lasso;2020-09-30;2020-06-30;alpha;0.0001
lasso;2020-12-31;2020-09-30;alpha;0.01
lasso;2021-03-31;2020-12-31;alpha;0.01
lasso;2021-06-30;2021-03-31;alpha;0.01
lasso;2021-09-30;2021-06-30;alpha;0.01
lasso;2021-12-31;2021-09-30;alpha;0.1
lasso;2022-03-31;2021-12-31;alpha;0.1
lasso;2022-06-30;2022-03-31;alpha;0.1
lasso;2022-09-30;2022-06-30;alpha;0.1
lasso;2022-12-31;2022-09-30;alpha;0.1
lasso;2023-03-31;2022-12-31;alpha;0.1
lasso;2023-06-30;2023-03-31;alpha;1e-05
lasso;2023-09-30;2023-06-30;alpha;1e-05
lasso;2023-12-31;2023-09-30;alpha;0.01
lasso;2024-03-31;2023-12-31;alpha;0.1
lasso;2024-06-30;2024-03-31;alpha;0.01
lasso;2024-09-30;2024-06-30;alpha;0.01
lasso;2024-12-31;2024-09-30;alpha;0.01
lasso;2025-03-31;2024-12-31;alpha;0.1
lasso;2025-06-30;2025-03-31;alpha;0.1
lasso;2025-09-30;2025-06-30;alpha;0.01
elastic_net;2018-12-31;2018-09-30;alpha;0.1
elastic_net;2018-12-31;2018-09-30;l1_ratio;0.5
elastic_net;2019-03-31;2018-12-31;alpha;0.1
elastic_net;2019-03-31;2018-12-31;l1_ratio;0.5
elastic_net;2019-06-30;2019-03-31;alpha;0.1
elastic_net;2019-06-30;2019-03-31;l1_ratio;0.5
elastic_net;2019-09-30;2019-06-30;alpha;0.1
elastic_net;2019-09-30;2019-06-30;l1_ratio;0.5
elastic_net;2019-12-31;2019-09-30;alpha;0.1
elastic_net;2019-12-31;2019-09-30;l1_ratio;0.5
elastic_net;2020-03-31;2019-12-31;alpha;1e-05
elastic_net;2020-03-31;2019-12-31;l1_ratio;0.2
elastic_net;2020-06-30;2020-03-31;alpha;1e-05
elastic_net;2020-06-30;2020-03-31;l1_ratio;0.2
elastic_net;2020-09-30;2020-06-30;alpha;0.001
elastic_net;2020-09-30;2020-06-30;l1_ratio;0.5
elastic_net;2020-12-31;2020-09-30;alpha;0.01
elastic_net;2020-12-31;2020-09-30;l1_ratio;0.8
elastic_net;2021-03-31;2020-12-31;alpha;0.01
elastic_net;2021-03-31;2020-12-31;l1_ratio;0.8
elastic_net;2021-06-30;2021-03-31;alpha;0.01
elastic_net;2021-06-30;2021-03-31;l1_ratio;0.8
elastic_net;2021-09-30;2021-06-30;alpha;0.01
elastic_net;2021-09-30;2021-06-30;l1_ratio;0.8
elastic_net;2021-12-31;2021-09-30;alpha;0.1
elastic_net;2021-12-31;2021-09-30;l1_ratio;0.2
elastic_net;2022-03-31;2021-12-31;alpha;0.1
elastic_net;2022-03-31;2021-12-31;l1_ratio;0.2
elastic_net;2022-06-30;2022-03-31;alpha;0.1
elastic_net;2022-06-30;2022-03-31;l1_ratio;0.2
elastic_net;2022-09-30;2022-06-30;alpha;0.1
elastic_net;2022-09-30;2022-06-30;l1_ratio;0.2
elastic_net;2022-12-31;2022-09-30;alpha;0.1
elastic_net;2022-12-31;2022-09-30;l1_ratio;0.2
elastic_net;2023-03-31;2022-12-31;alpha;0.1
elastic_net;2023-03-31;2022-12-31;l1_ratio;0.2
