month_end;forecast_date;model;q;obs_var;intercept;size_cs;value_cs;mom_cs;mkt_vol;illiq_cs;state_infl_high;state_dd_stress;value_cs_x_inflhigh;illiq_cs_x_stress;value_missing;illiq_missing;alpha;l1_ratio;window;depth;learning_rate;l2_leaf_reg;iterations;size_cs__lag1;value_cs__lag1;mom_cs__lag1;mkt_vol__lag1;illiq_cs__lag1;state_infl_high__lag1;state_dd_stress__lag1;value_cs_x_inflhigh__lag1;illiq_cs_x_stress__lag1;value_missing__lag1;illiq_missing__lag1;size_cs__lag2;value_cs__lag2;mom_cs__lag2;mkt_vol__lag2;illiq_cs__lag2;state_infl_high__lag2;state_dd_stress__lag2;value_cs_x_inflhigh__lag2;illiq_cs_x_stress__lag2;value_missing__lag2;illiq_missing__lag2;size_cs__lag3;value_cs__lag3;mom_cs__lag3;mkt_vol__lag3;illiq_cs__lag3;state_infl_high__lag3;state_dd_stress__lag3;value_cs_x_inflhigh__lag3;illiq_cs_x_stress__lag3;value_missing__lag3;illiq_missing__lag3;size_cs__lag4;value_cs__lag4;mom_cs__lag4;mkt_vol__lag4;illiq_cs__lag4;state_infl_high__lag4;state_dd_stress__lag4;value_cs_x_inflhigh__lag4;illiq_cs_x_stress__lag4;value_missing__lag4;illiq_missing__lag4;d_model;num_layers;dropout;lr;weight_decay;size_cs__lag7;value_cs__lag7;mom_cs__lag7;mkt_vol__lag7;illiq_cs__lag7;state_infl_high__lag7;state_dd_stress__lag7;value_cs_x_inflhigh__lag7;illiq_cs_x_stress__lag7;value_missing__lag7;illiq_missing__lag7;size_cs__lag6;value_cs__lag6;mom_cs__lag6;mkt_vol__lag6;illiq_cs__lag6;state_infl_high__lag6;state_dd_stress__lag6;value_cs_x_inflhigh__lag6;illiq_cs_x_stress__lag6;value_missing__lag6;illiq_missing__lag6;size_cs__lag5;value_cs__lag5;mom_cs__lag5;mkt_vol__lag5;illiq_cs__lag5;state_infl_high__lag5;state_dd_stress__lag5;value_cs_x_inflhigh__lag5;illiq_cs_x_stress__lag5;value_missing__lag5;illiq_missing__lag5;size_cs__lag0;value_cs__lag0;mom_cs__lag0;mkt_vol__lag0;illiq_cs__lag0;state_infl_high__lag0;state_dd_stress__lag0;value_cs_x_inflhigh__lag0;illiq_cs_x_stress__lag0;value_missing__lag0;illiq_missing__lag0
2018-09-30;2018-12-31;kalman_tvp;0.001;0.042754;-0.005259;-0.027115;0.023369;0.015144;0.016896;0.018348;0.0;0.020197;0.0;-0.149693;0.000232;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018-12-31;2019-03-31;kalman_tvp;0.0001;0.045944;0.00387;-0.03285;0.025527;0.013004;0.014535;0.032232;0.119899;0.047155;-0.030403;-0.12027;-0.000499;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019-03-31;2019-06-30;kalman_tvp;1e-05;0.046667;0.026119;-0.023153;0.0262;0.016707;0.008649;-0.006057;0.094419;0.035313;-0.014231;-0.100052;-0.006182;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019-06-30;2019-09-30;kalman_tvp;0.0001;0.046484;0.041831;-0.009335;0.027565;-0.017418;0.007106;0.026907;0.096008;0.047145;-0.016678;-0.119858;0.000773;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019-09-30;2019-12-31;kalman_tvp;0.0001;0.0449;0.049539;0.007639;0.027845;-0.009074;0.004841;0.010487;0.100863;0.039314;-0.012769;-0.119553;0.007082;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019-12-31;2020-03-31;kalman_tvp;1e-05;0.044285;0.028361;-0.013747;0.060186;0.026747;0.014938;0.010179;0.098958;0.018435;-0.046452;-0.113077;0.016738;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-31;2020-06-30;kalman_tvp;1e-05;0.043747;0.014711;-0.023396;0.057077;0.046761;0.019324;0.010881;0.100466;0.018013;-0.047176;-0.045082;0.015939;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-06-30;2020-09-30;kalman_tvp;0.0001;0.044226;0.036933;-0.033521;0.060774;0.035757;0.053551;0.027633;0.052574;0.031003;-0.04896;-0.038342;0.017245;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-09-30;2020-12-31;kalman_tvp;1e-05;0.04367;0.021956;-0.012723;0.060966;0.017512;0.023168;0.00132;0.084208;0.040193;-0.045888;-0.007099;0.016614;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-12-31;2021-03-31;kalman_tvp;1e-05;0.043526;0.019978;-0.013292;0.060042;0.023537;0.011876;0.001206;0.075011;0.055192;-0.076763;-0.007497;0.016314;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
