month_end;model;n_assets;mse;mae;spearman_rank_corr;state_date;q;obs_var;state_infl_high;state_dd_stress;alpha;l1_ratio;window
2018-12-31;kalman_tvp;226;0.086619;0.173799;0.230017;2018-09-30;0.001;0.042754;1.0;0.0;;;
2019-03-31;kalman_tvp;228;0.054215;0.14257;-0.321265;2018-12-31;0.0001;0.045944;0.0;0.0;;;
2019-06-30;kalman_tvp;227;0.044363;0.117104;0.131782;2019-03-31;1e-05;0.046667;0.0;0.0;;;
2019-09-30;kalman_tvp;228;0.025365;0.112367;-0.172437;2019-06-30;0.0001;0.046484;0.0;0.0;;;
2019-12-31;kalman_tvp;230;0.049254;0.181298;0.149232;2019-09-30;0.0001;0.0449;0.0;0.0;;;
2020-03-31;kalman_tvp;229;0.037483;0.129861;-0.08949;2019-12-31;1e-05;0.044285;1.0;1.0;;;
2020-06-30;kalman_tvp;232;0.049298;0.138688;0.086002;2020-03-31;1e-05;0.043747;0.0;1.0;;;
2020-09-30;kalman_tvp;224;0.0452;0.170674;-0.321648;2020-06-30;0.0001;0.044226;0.0;0.0;;;
2020-12-31;kalman_tvp;229;0.040917;0.137999;0.00924;2020-09-30;1e-05;0.04367;1.0;0.0;;;
2021-03-31;kalman_tvp;228;0.033881;0.143652;-0.012077;2020-12-31;1e-05;0.043526;1.0;0.0;;;
2021-06-30;kalman_tvp;228;0.064939;0.151333;-0.124161;2021-03-31;0.0001;0.042985;1.0;0.0;;;
2021-09-30;kalman_tvp;227;0.05402;0.177196;-0.006583;2021-06-30;0.0001;0.044083;1.0;0.0;;;
2021-12-31;kalman_tvp;225;0.067491;0.226195;0.08476;2021-09-30;1e-05;0.044532;1.0;0.0;;;
2022-03-31;kalman_tvp;225;0.057603;0.198759;0.225682;2021-12-31;0.001;0.045574;1.0;1.0;;;
2022-06-30;kalman_tvp;225;0.028447;0.135679;0.134957;2022-03-31;0.001;0.046516;0.0;1.0;;;
2022-09-30;kalman_tvp;221;0.140369;0.33076;0.005097;2022-06-30;0.0001;0.045574;0.0;1.0;;;
2022-12-31;kalman_tvp;220;0.14415;0.257978;0.306249;2022-09-30;1e-05;0.046804;1.0;1.0;;;
2023-03-31;kalman_tvp;220;0.120781;0.236993;0.324656;2022-12-31;0.0001;0.050034;0.0;1.0;;;
2023-06-30;kalman_tvp;219;0.201039;0.327679;0.459379;2023-03-31;0.001;0.053047;0.0;1.0;;;
2023-09-30;kalman_tvp;223;0.187639;0.367775;-0.465155;2023-06-30;0.001;0.059373;1.0;1.0;;;
2023-12-31;kalman_tvp;229;0.284153;0.490749;-0.026276;2023-09-30;0.001;0.062285;0.0;1.0;;;
2024-03-31;kalman_tvp;231;0.033286;0.152799;-0.207429;2023-12-31;1e-05;0.062116;0.0;1.0;;;
2024-06-30;kalman_tvp;237;0.025896;0.115952;0.117333;2024-03-31;1e-05;0.06102;0.0;1.0;;;
2024-09-30;kalman_tvp;238;0.026109;0.129983;-0.250156;2024-06-30;1e-05;0.059676;0.0;1.0;;;
2024-12-31;kalman_tvp;240;0.064313;0.211709;0.248375;2024-09-30;1e-05;0.058536;1.0;1.0;;;
2025-03-31;kalman_tvp;240;0.052114;0.205181;-0.160505;2024-12-31;1e-05;0.05838;0.0;1.0;;;
2025-06-30;kalman_tvp;240;0.037145;0.141078;-0.399715;2025-03-31;1e-05;0.057122;0.0;1.0;;;
2025-09-30;kalman_tvp;239;0.016492;0.096047;-0.137069;2025-06-30;1e-05;0.056341;0.0;1.0;;;
2018-12-31;ols;226;0.080987;0.160425;0.123199;2018-09-30;;;1.0;0.0;;;
2019-03-31;ols;228;0.056021;0.142812;-0.293724;2018-12-31;;;0.0;0.0;;;
2019-06-30;ols;227;0.045598;0.118381;0.134934;2019-03-31;;;0.0;0.0;;;
2019-09-30;ols;228;0.028481;0.113604;-0.2032;2019-06-30;;;0.0;0.0;;;
2019-12-31;ols;230;0.038227;0.146382;0.180547;2019-09-30;;;0.0;0.0;;;
2020-03-31;ols;229;0.03927;0.128224;-0.089152;2019-12-31;;;1.0;1.0;;;
2020-06-30;ols;232;0.052374;0.142682;0.011618;2020-03-31;;;0.0;1.0;;;
2020-09-30;ols;224;0.03608;0.139259;-0.329132;2020-06-30;;;0.0;0.0;;;
2020-12-31;ols;229;0.041307;0.141183;0.010603;2020-09-30;;;1.0;0.0;;;
2021-03-31;ols;228;0.034514;0.147059;-0.00977;2020-12-31;;;1.0;0.0;;;
2021-06-30;ols;228;0.064152;0.160576;-0.120589;2021-03-31;;;1.0;0.0;;;
2021-09-30;ols;227;0.055188;0.183835;0.07172;2021-06-30;;;1.0;0.0;;;
2021-12-31;ols;225;0.080918;0.25375;0.142082;2021-09-30;;;1.0;0.0;;;
2022-03-31;ols;225;0.079596;0.240645;-0.08177;2021-12-31;;;1.0;1.0;;;
2022-06-30;ols;225;0.032337;0.150308;0.224464;2022-03-31;;;0.0;1.0;;;
2022-09-30;ols;221;0.106284;0.276059;-0.035371;2022-06-30;;;0.0;1.0;;;
2022-12-31;ols;220;0.15795;0.27919;0.27966;2022-09-30;;;1.0;1.0;;;
2023-03-31;ols;220;0.138431;0.24401;0.298724;2022-12-31;;;0.0;1.0;;;
2023-06-30;ols;219;0.2647;0.367226;0.396137;2023-03-31;;;0.0;1.0;;;
2023-09-30;ols;223;0.206185;0.418155;-0.484193;2023-06-30;;;1.0;1.0;;;
2023-12-31;ols;229;0.062676;0.171725;0.207281;2023-09-30;;;0.0;1.0;;;
2024-03-31;ols;231;0.03363;0.154968;-0.20363;2023-12-31;;;0.0;1.0;;;
2024-06-30;ols;237;0.026718;0.119251;0.124714;2024-03-31;;;0.0;1.0;;;
2024-09-30;ols;238;0.025314;0.126002;-0.239118;2024-06-30;;;0.0;1.0;;;
2024-12-31;ols;240;0.060742;0.203472;0.258988;2024-09-30;;;1.0;1.0;;;
2025-03-31;ols;240;0.019222;0.11253;-0.177706;2024-12-31;;;0.0;1.0;;;
2025-06-30;ols;240;0.032384;0.124208;0.38834;2025-03-31;;;0.0;1.0;;;
2025-09-30;ols;239;0.016169;0.09263;-0.118277;2025-06-30;;;0.0;1.0;;;
2018-12-31;ridge;226;0.082561;0.162422;0.060416;2018-09-30;;;1.0;0.0;100.0;;
2019-03-31;ridge;228;0.053947;0.137846;-0.262262;2018-12-31;;;0.0;0.0;100.0;;
2019-06-30;ridge;227;0.045453;0.118334;0.093933;2019-03-31;;;0.0;0.0;100.0;;
2019-09-30;ridge;228;0.027945;0.112063;-0.206497;2019-06-30;;;0.0;0.0;100.0;;
2019-12-31;ridge;230;0.039318;0.149847;0.207005;2019-09-30;;;0.0;0.0;100.0;;
2020-03-31;ridge;229;0.03927;0.128224;-0.089152;2019-12-31;;;1.0;1.0;0.0001;;
2020-06-30;ridge;232;0.052323;0.142594;0.01604;2020-03-31;;;0.0;1.0;1.0;;
