model;regime_dimension;state_infl_high;mse;mae;spearman_rank_corr;state_dd_stress
kalman_tvp;state_infl_high;0.0;0.07256;0.189741;-0.034592;
kalman_tvp;state_infl_high;1.0;0.076278;0.197841;0.036987;
kalman_tvp;state_dd_stress;;0.051479;0.157654;-0.032104;0.0
kalman_tvp;state_dd_stress;;0.088607;0.215745;0.010114;1.0
ols;state_infl_high;0.0;0.059685;0.161296;0.021565;
ols;state_infl_high;1.0;0.081892;0.210592;0.009162;
ols;state_dd_stress;;0.051043;0.155206;-0.026666;0.0
ols;state_dd_stress;;0.079646;0.197134;0.044748;1.0
ridge;state_infl_high;0.0;0.05947;0.16083;0.012982;
ridge;state_infl_high;1.0;0.081256;0.208493;0.007934;
ridge;state_dd_stress;;0.05058;0.15354;-0.034695;0.0
ridge;state_dd_stress;;0.07932;0.196387;0.040565;1.0
lasso;state_infl_high;0.0;0.060716;0.163698;0.04015;
lasso;state_infl_high;1.0;0.078323;0.195534;-0.10023;
lasso;state_dd_stress;;0.048466;0.146522;-0.327644;0.0
lasso;state_dd_stress;;0.080034;0.195412;0.034816;1.0
elastic_net;state_infl_high;0.0;0.060429;0.164616;0.033972;
elastic_net;state_infl_high;1.0;0.078481;0.197141;-0.100741;
elastic_net;state_dd_stress;;0.048511;0.147881;-0.326699;0.0
elastic_net;state_dd_stress;;0.079821;0.19649;0.029142;1.0
rolling_ols;state_infl_high;0.0;0.098988;0.220121;0.026975;
rolling_ols;state_infl_high;1.0;0.083176;0.213836;0.008428;
rolling_ols;state_dd_stress;;0.058928;0.172004;-0.036165;0.0
rolling_ols;state_dd_stress;;0.114677;0.247188;0.055829;1.0
catboost_lags_regimes;state_infl_high;0.0;0.061696;0.170716;-0.018121;
catboost_lags_regimes;state_infl_high;1.0;0.074098;0.18437;-0.014025;
catboost_lags_regimes;state_dd_stress;;0.049147;0.145977;0.004503;0.0
catboost_lags_regimes;state_dd_stress;;0.077841;0.195559;-0.030111;1.0
patchtst_global;state_infl_high;0.0;0.073017;0.202145;-0.052756;
patchtst_global;state_infl_high;1.0;0.111174;0.226914;-0.018231;
patchtst_global;state_dd_stress;;0.063712;0.180658;-0.068549;0.0
patchtst_global;state_dd_stress;;0.103727;0.232075;-0.020197;1.0
