model;feature;mean_abs_shap;rank
kalman_tvp;mom_cs;0.067208;1
kalman_tvp;mkt_vol;0.040756;2
kalman_tvp;state_infl_high;0.018653;3
kalman_tvp;size_cs;0.01521;4
kalman_tvp;state_dd_stress;0.014995;5
kalman_tvp;illiq_cs;0.010126;6
kalman_tvp;illiq_cs_x_stress;0.008489;7
kalman_tvp;value_cs;0.006866;8
kalman_tvp;value_missing;0.006628;9
kalman_tvp;value_cs_x_inflhigh;0.004344;10
kalman_tvp;illiq_missing;0.0;11
ols;mom_cs;0.053539;1
ols;state_infl_high;0.021108;2
ols;mkt_vol;0.018879;3
ols;state_dd_stress;0.018572;4
ols;size_cs;0.01045;5
ols;illiq_cs_x_stress;0.009915;6
ols;value_missing;0.007041;7
ols;value_cs;0.006238;8
ols;value_cs_x_inflhigh;0.004503;9
ols;illiq_cs;0.002082;10
ols;illiq_missing;0.0;11
ridge;mom_cs;0.052244;1
ridge;mkt_vol;0.018732;2
ridge;state_infl_high;0.018126;3
ridge;state_dd_stress;0.017302;4
ridge;size_cs;0.009685;5
ridge;illiq_cs_x_stress;0.007552;6
ridge;value_missing;0.005641;7
ridge;value_cs;0.002026;8
ridge;illiq_cs;0.001512;9
ridge;value_cs_x_inflhigh;0.001114;10
ridge;illiq_missing;0.0;11
lasso;mom_cs;0.026076;1
lasso;mkt_vol;0.008919;2
lasso;state_dd_stress;0.00662;3
lasso;state_infl_high;0.005386;4
lasso;illiq_cs_x_stress;0.004744;5
lasso;size_cs;0.00228;6
lasso;value_cs;0.000587;7
lasso;value_missing;0.000531;8
lasso;illiq_cs;0.000465;9
lasso;value_cs_x_inflhigh;0.000348;10
lasso;illiq_missing;0.0;11
elastic_net;mom_cs;0.026032;1
elastic_net;mkt_vol;0.010316;2
elastic_net;state_infl_high;0.007158;3
elastic_net;state_dd_stress;0.006631;4
elastic_net;illiq_cs_x_stress;0.004791;5
elastic_net;size_cs;0.002608;6
elastic_net;value_cs;0.000601;7
elastic_net;illiq_cs;0.000534;8
elastic_net;value_missing;0.000533;9
elastic_net;value_cs_x_inflhigh;0.000358;10
elastic_net;illiq_missing;0.0;11
rolling_ols;mom_cs;0.10723;1
rolling_ols;mkt_vol;0.074359;2
rolling_ols;state_dd_stress;0.063249;3
rolling_ols;state_infl_high;0.034361;4
rolling_ols;size_cs;0.013678;5
rolling_ols;illiq_cs;0.009324;6
rolling_ols;illiq_cs_x_stress;0.009122;7
rolling_ols;value_cs;0.00789;8
rolling_ols;value_missing;0.007502;9
rolling_ols;value_cs_x_inflhigh;0.005503;10
rolling_ols;illiq_missing;0.0;11
catboost_lags_regimes;mkt_vol__lag2;0.025573;1
catboost_lags_regimes;mom_cs;0.018358;2
catboost_lags_regimes;mkt_vol__lag4;0.009818;3
catboost_lags_regimes;mkt_vol;0.008935;4
catboost_lags_regimes;mom_cs__lag1;0.008867;5
catboost_lags_regimes;state_infl_high;0.004903;6
catboost_lags_regimes;size_cs;0.004891;7
catboost_lags_regimes;state_infl_high__lag4;0.004822;8
catboost_lags_regimes;mkt_vol__lag3;0.004723;9
