strategy;metric;ci_low;median;ci_high;n_bootstrap;block_len
always_linear;mean_return;0.01117886;0.07298405;0.1565482;1000;4
always_linear;annualized_return;0.02566228;0.27420851;0.69915957;1000;4
always_linear;annualized_vol;0.18064113;0.31391095;0.4356346;1000;4
always_linear;sharpe;0.10682421;0.90693573;1.8658086;1000;4
always_linear;sortino;0.4304527;4.33718385;17.87946227;1000;4
always_linear;max_drawdown;-0.42890479;-0.2300429;-0.09766456;1000;4
always_linear;calmar;0.06362456;1.15459786;5.79023441;1000;4
always_linear;var_5_return;-0.12548035;-0.10025223;-0.05889318;1000;4
always_linear;cvar_5_return;-0.12548035;-0.11100522;-0.09104272;1000;4
always_transformer;mean_return;0.01138523;0.06992685;0.14484722;1000;4
always_transformer;annualized_return;0.02505954;0.27145747;0.66394546;1000;4
always_transformer;annualized_vol;0.19080008;0.27487864;0.33574134;1000;4
always_transformer;sharpe;0.11665794;0.99889595;2.1306845;1000;4
always_transformer;sortino;0.46877373;4.48669321;11.09365376;1000;4
always_transformer;max_drawdown;-0.39565205;-0.19354952;-0.08681915;1000;4
always_transformer;calmar;0.06868017;1.36923649;6.10207223;1000;4
always_transformer;var_5_return;-0.09485758;-0.08787274;-0.05228823;1000;4
always_transformer;cvar_5_return;-0.09485758;-0.09164882;-0.06938354;1000;4
selector_composite;mean_return;-0.00282603;0.06141781;0.1418667;1000;4
selector_composite;annualized_return;-0.03432111;0.22596153;0.634761;1000;4
selector_composite;annualized_vol;0.17316638;0.28858903;0.37077921;1000;4
selector_composite;sharpe;-0.1555481;0.7954055;2.00321885;1000;4
selector_composite;sortino;-0.49341005;2.82397579;8.15063436;1000;4
selector_composite;max_drawdown;-0.57599077;-0.31805318;-0.10221314;1000;4
selector_composite;calmar;-0.06872756;0.68667669;4.27210994;1000;4
selector_composite;var_5_return;-0.16583745;-0.12672132;-0.08438561;1000;4
selector_composite;cvar_5_return;-0.16583745;-0.14855784;-0.08674966;1000;4
selector_rule_based;mean_return;0.01615917;0.078406;0.14645921;1000;4
selector_rule_based;annualized_return;0.04252556;0.31163506;0.6769379;1000;4
selector_rule_based;annualized_vol;0.1808782;0.27475986;0.3429396;1000;4
selector_rule_based;sharpe;0.20474709;1.12563267;2.25629852;1000;4
selector_rule_based;sortino;0.62739112;4.37954012;14.34551073;1000;4
selector_rule_based;max_drawdown;-0.40107228;-0.19354952;-0.06098016;1000;4
selector_rule_based;calmar;0.13145912;1.52537064;8.68340149;1000;4
selector_rule_based;var_5_return;-0.10775079;-0.08777743;-0.0132832;1000;4
selector_rule_based;cvar_5_return;-0.10775079;-0.09809543;-0.0447724;1000;4
