metric;selector_strategy;benchmark_strategy;selector_ci_low;selector_median;selector_ci_high;benchmark_ci_low;benchmark_median;benchmark_ci_high;median_diff_selector_minus_benchmark;ci_overlap_width;ci_overlap_ratio_to_narrower;selector_materially_dominates;benchmark_materially_dominates;heavy_overlap
mean_return;selector_rule_based;always_linear;0.01615917;0.078406;0.14645921;0.01117886;0.07298405;0.1565482;0.00542195;0.13030004;1.0;False;False;True
mean_return;selector_rule_based;always_transformer;0.01615917;0.078406;0.14645921;0.01138523;0.06992685;0.14484722;0.00847915;0.12868805;0.98762865;False;False;True
annualized_return;selector_rule_based;always_linear;0.04252556;0.31163506;0.6769379;0.02566228;0.27420851;0.69915957;0.03742655;0.63441234;1.0;False;False;True
annualized_return;selector_rule_based;always_transformer;0.04252556;0.31163506;0.6769379;0.02505954;0.27145747;0.66394546;0.04017759;0.6214199;0.97952051;False;False;True
annualized_vol;selector_rule_based;always_linear;0.1808782;0.27475986;0.3429396;0.18064113;0.31391095;0.4356346;-0.0391511;0.1620614;1.0;False;False;True
annualized_vol;selector_rule_based;always_transformer;0.1808782;0.27475986;0.3429396;0.19080008;0.27487864;0.33574134;-0.00011879;0.14494126;1.0;False;False;True
sharpe;selector_rule_based;always_linear;0.20474709;1.12563267;2.25629852;0.10682421;0.90693573;1.8658086;0.21869694;1.6610615;0.94432987;False;False;True
sharpe;selector_rule_based;always_transformer;0.20474709;1.12563267;2.25629852;0.11665794;0.99889595;2.1306845;0.12673672;1.92593741;0.95626217;False;False;True
sortino;selector_rule_based;always_linear;0.62739112;4.37954012;14.34551073;0.4304527;4.33718385;17.87946227;0.04235627;13.71811961;1.0;False;False;True
sortino;selector_rule_based;always_transformer;0.62739112;4.37954012;14.34551073;0.46877373;4.48669321;11.09365376;-0.10715308;10.46626264;0.98507114;False;False;True
max_drawdown;selector_rule_based;always_linear;-0.40107228;-0.19354952;-0.06098016;-0.42890479;-0.2300429;-0.09766456;0.03649338;0.30340772;0.91597487;False;False;True
max_drawdown;selector_rule_based;always_transformer;-0.40107228;-0.19354952;-0.06098016;-0.39565205;-0.19354952;-0.08681915;0.0;0.30883289;1.0;False;False;True
calmar;selector_rule_based;always_linear;0.13145912;1.52537064;8.68340149;0.06362456;1.15459786;5.79023441;0.37077277;5.65877529;0.9881545;False;False;True
calmar;selector_rule_based;always_transformer;0.13145912;1.52537064;8.68340149;0.06868017;1.36923649;6.10207223;0.15613415;5.97061311;0.98959475;False;False;True
var_5_return;selector_rule_based;always_linear;-0.10775079;-0.08777743;-0.0132832;-0.12548035;-0.10025223;-0.05889318;0.01247479;0.04885761;0.73373911;False;False;True
var_5_return;selector_rule_based;always_transformer;-0.10775079;-0.08777743;-0.0132832;-0.09485758;-0.08787274;-0.05228823;9.531e-05;0.04256936;1.0;False;False;True
cvar_5_return;selector_rule_based;always_linear;-0.10775079;-0.09809543;-0.0447724;-0.12548035;-0.11100522;-0.09104272;0.01290979;0.01670807;0.48516903;False;False;False
cvar_5_return;selector_rule_based;always_transformer;-0.10775079;-0.09809543;-0.0447724;-0.09485758;-0.09164882;-0.06938354;-0.00644661;0.02547405;1.0;False;False;True
