secid;n_patchtst_quarters;total_contribution;total_abs_contribution;avg_weight;max_weight;abs_contribution_share;cum_abs_contribution_share
CHGZ;4;0.22025193;0.22025193;0.13235536;0.15;0.08753409;0.08753409
LVHK;1;0.19287266;0.19287266;0.15;0.15;0.07665283;0.16418692
ELTZ;4;0.15686163;0.17446227;0.10534808;0.15;0.06933604;0.23352296
RUSI;4;-0.02374831;0.13418395;0.1351879;0.15;0.05332834;0.2868513
ARSA;6;0.02604149;0.13069375;0.12533419;0.15;0.05194124;0.33879254
SARE;3;0.12192812;0.12192812;0.12605649;0.15;0.04845754;0.38725008
KRKOP;3;0.11773486;0.11773486;0.128995;0.15;0.04679103;0.43404111
PRMB;6;0.00347525;0.09848139;0.1294615;0.15;0.03913918;0.47318029
VSYDP;4;0.00399502;0.08767165;0.13741926;0.15;0.03484309;0.50802338
CNTL;1;0.08256048;0.08256048;0.15;0.15;0.03281178;0.54083515
AVAN;3;-0.01515339;0.07100925;0.15;0.15;0.028221;0.56905616
RTGZ;2;0.0663057;0.0663057;0.15;0.15;0.02635168;0.59540784
UWGN;2;0.03646794;0.06110487;0.1224261;0.15;0.02428473;0.61969257
SAREP;3;0.0409934;0.05898333;0.14043452;0.15;0.02344158;0.64313415
RDRB;7;-0.03615556;0.05666657;0.11365241;0.15;0.02252083;0.66565498
CBOM;3;-0.0451602;0.0451602;0.15;0.15;0.01794789;0.68360287
DZRD;1;0.04253049;0.04253049;0.15;0.15;0.01690277;0.70050564
GAZAP;4;-0.00183231;0.04131841;0.102549;0.15;0.01642106;0.71692669
RTKMP;2;0.03081893;0.04096325;0.15;0.15;0.01627991;0.7332066
MAGE;1;-0.03760623;0.03760623;0.15;0.15;0.01494574;0.74815234
YRSBP;2;0.01370208;0.03538883;0.15;0.15;0.01406448;0.76221682
KGKCP;3;-0.01175897;0.03475266;0.13186624;0.15;0.01381165;0.77602847
WTCMP;3;0.02048759;0.03459961;0.09175638;0.15;0.01375082;0.78977929
NLMK;1;-0.03359511;0.03359511;0.15;0.15;0.01335161;0.8031309
GMKN;2;-0.02933927;0.02933927;0.15;0.15;0.01166022;0.81479113
KGKC;1;-0.02913043;0.02913043;0.15;0.15;0.01157723;0.82636835
MISBP;1;0.02878718;0.02878718;0.12131739;0.12131739;0.0114408;0.83780916
AFLT;1;0.02684558;0.02684558;0.15;0.15;0.01066916;0.84847832
RTKM;1;0.02582409;0.02582409;0.15;0.15;0.01026319;0.85874151
SAGOP;2;0.02220141;0.02220141;0.07567838;0.14797709;0.00882344;0.86756495
BISVP;3;-0.00619897;0.01985444;0.08092856;0.15;0.00789069;0.87545565
KRKN;1;0.01982759;0.01982759;0.15;0.15;0.00788002;0.88333567
IGSTP;2;0.00440308;0.01894964;0.05654084;0.0614303;0.0075311;0.89086677
KRSBP;1;-0.01875;0.01875;0.1;0.1;0.00745176;0.89831853
GEMA;1;-0.01816697;0.01816697;0.15;0.15;0.00722005;0.90553857
UTAR;1;0.01778729;0.01778729;0.15;0.15;0.00706915;0.91260772
MTSS;1;0.01704078;0.01704078;0.08579092;0.08579092;0.00677247;0.91938019
SPBE;3;0.01315291;0.01541271;0.04120922;0.08779173;0.00612543;0.92550562
OGKB;1;0.01293571;0.01293571;0.15;0.15;0.005141;0.93064662
JNOSP;1;-0.01247525;0.01247525;0.15;0.15;0.004958;0.93560462
SBER;1;0.01128272;0.01128272;0.10408484;0.10408484;0.00448406;0.94008868
MSRS;1;0.00990288;0.00990288;0.15;0.15;0.00393567;0.94402436
POSI;1;0.00976754;0.00976754;0.02554193;0.02554193;0.00388188;0.94790624
VSMO;1;0.00973709;0.00973709;0.15;0.15;0.00386978;0.95177603
ZILL;1;0.00923728;0.00923728;0.12104025;0.12104025;0.00367115;0.95544717
YKENP;1;-0.00813953;0.00813953;0.15;0.15;0.00323487;0.95868204
KOGK;1;-0.0080757;0.0080757;0.09306665;0.09306665;0.0032095;0.96189155
ZVEZ;1;-0.0069763;0.0069763;0.11796297;0.11796297;0.00277257;0.96466412
NKNCP;1;-0.00692308;0.00692308;0.15;0.15;0.00275142;0.96741554
BRZL;1;-0.00662413;0.00662413;0.04172996;0.04172996;0.00263261;0.97004814
TASB;1;-0.00639697;0.00639697;0.05966152;0.05966152;0.00254233;0.97259047
MFGSP;1;0.00583011;0.00583011;0.07635565;0.07635565;0.00231704;0.97490752
APTK;1;0.00567343;0.00567343;0.15;0.15;0.00225478;0.97716229
WTCM;1;-0.00502902;0.00502902;0.12075738;0.12075738;0.00199867;0.97916096
MSTT;1;-0.0048809;0.0048809;0.06812747;0.06812747;0.0019398;0.98110076
VJGZP;1;-0.00468085;0.00468085;0.03371946;0.03371946;0.0018603;0.98296106
UKUZ;1;-0.0045705;0.0045705;0.03617598;0.03617598;0.00181644;0.9847775
TRNFP;1;-0.00415027;0.00415027;0.12679629;0.12679629;0.00164943;0.98642693
UNKL;1;-0.00388511;0.00388511;0.07456426;0.07456426;0.00154405;0.98797098
TATNP;1;-0.00364577;0.00364577;0.13010338;0.13010338;0.00144893;0.98941991
VTBR;1;0.00361739;0.00361739;0.15;0.15;0.00143765;0.99085756
RENI;1;0.00346074;0.00346074;0.02556231;0.02556231;0.00137539;0.99223295
MGTSP;1;-0.00265189;0.00265189;0.05317032;0.05317032;0.00105393;0.99328688
ASSB;1;-0.00259158;0.00259158;0.04033848;0.04033848;0.00102996;0.99431685
MGNT;1;0.00258557;0.00258557;0.02183052;0.02183052;0.00102757;0.99534442
TASBP;1;0.00258139;0.00258139;0.01397446;0.01397446;0.00102592;0.99637034
EELT;1;-0.00217391;0.00217391;0.15;0.15;0.00086397;0.99723431
GAZP;1;-0.00216274;0.00216274;0.15;0.15;0.00085953;0.99809384
BELU;1;-0.00123529;0.00123529;0.02403549;0.02403549;0.00049094;0.99858478
UCSS;1;0.0011472;0.0011472;0.07399454;0.07399454;0.00045593;0.99904071
PHOR;1;0.00086534;0.00086534;0.15;0.15;0.00034391;0.99938462
MOEX;2;-0.00032726;0.0008242;0.08057006;0.15;0.00032756;0.99971217
KTSBP;1;0.00058154;0.00058154;0.00168095;0.00168095;0.00023112;0.99994329
RUAL;1;-0.00014268;0.00014268;0.13866715;0.13866715;5.671e-05;1.0
