forecast_date;n_assets;portfolio_return;max_weight;top5_weight;weight_hhi;effective_n_assets;top1_abs_contribution_share;top5_abs_contribution_share;top_abs_contributor;top_abs_contribution
2022-03-31;10;-0.08844006;0.15;0.64912888;0.11248503;8.89007153;0.33635658;0.75119825;NLMK;-0.03359511
2022-06-30;8;0.09002091;0.15;0.75;0.14018669;7.13334484;0.64501698;0.93732772;ELTZ;0.11488294
2022-09-30;12;0.22935005;0.15;0.72131739;0.12511045;7.99293744;0.21181398;0.80453762;ELTZ;0.04857955
2022-12-31;10;0.33139752;0.15;0.74797709;0.13404506;7.46017781;0.30770409;0.84483902;KRKOP;0.10197237
2023-03-31;8;0.19103104;0.15;0.75;0.14158704;7.06279336;0.42838861;0.90579494;SARE;0.08183552
2023-06-30;7;0.41726454;0.15;0.75;0.145;6.89655172;0.42457814;0.92876269;LVHK;0.19287266
2023-09-30;7;-0.0132832;0.15;0.75;0.145;6.89655172;0.45080203;0.94400809;CHGZ;0.0993932
2023-12-31;8;0.05733967;0.15;0.75;0.13974105;7.15609332;0.51042238;0.96682626;UWGN;0.04878641
2024-03-31;8;-0.06098016;0.15;0.75;0.13705245;7.29647685;0.29227317;0.86031054;RUSI;-0.03484848
2024-06-30;10;-0.06174479;0.15;0.73010338;0.13148017;7.60570942;0.28599356;0.86833994;CBOM;-0.02332293
2024-09-30;9;-0.08466104;0.15;0.70491144;0.12504539;7.99709598;0.27431448;0.81942506;RUSI;-0.04411765
2024-12-31;9;0.0973113;0.15;0.75;0.13566168;7.37127852;0.219807;0.85353515;AVAN;0.02792793
2025-03-31;8;-0.08654685;0.15;0.75;0.13607533;7.34887062;0.25128721;0.85985058;PRMB;-0.0260479
2025-06-30;9;0.03344357;0.15;0.69690308;0.12324941;8.11362934;0.24533557;0.81309435;KRKOP;0.01309582
2025-09-30;8;-0.01373356;0.15;0.75;0.13400529;7.46239193;0.28171273;0.90765335;KRKN;0.01982759
