strategy;forecast_date;month_end;state_date;model_requested;model_used;expected_return;portfolio_return;n_assets;max_weight;weight_sum;expected_col;state_infl_high;state_vol_high_auto;state_dd_stress
always_linear;2018-12-31;2018-12-31;2018-09-30;ridge;ridge;0.03789365;0.12131946;11;0.15;1.0;prediction_scaled;1.0;0.0;0.0
always_linear;2019-03-31;2019-03-31;2018-12-31;ridge;ridge;-0.01628616;0.01311081;12;0.15;1.0;prediction_scaled;0.0;0.0;0.0
always_linear;2019-06-30;2019-06-30;2019-03-31;ridge;ridge;0.02065569;0.07906152;12;0.15;1.0;prediction_scaled;0.0;0.0;0.0
always_linear;2019-09-30;2019-09-30;2019-06-30;ridge;ridge;0.01127536;0.02970353;11;0.15;1.0;prediction_scaled;0.0;0.0;0.0
always_linear;2019-12-31;2019-12-31;2019-09-30;ridge;ridge;-0.00016171;0.05388319;11;0.15;1.0;prediction_scaled;0.0;0.0;0.0
always_linear;2020-03-31;2020-03-31;2019-12-31;ridge;ridge;0.11048363;0.08247127;7;0.15;1.0;prediction_scaled;1.0;0.0;1.0
always_linear;2020-06-30;2020-06-30;2020-03-31;ridge;ridge;0.01905503;0.15600222;12;0.15;1.0;prediction_scaled;0.0;0.0;1.0
always_linear;2020-09-30;2020-09-30;2020-06-30;ridge;ridge;0.09678479;0.02106467;9;0.15;1.0;prediction_scaled;0.0;0.0;0.0
always_linear;2020-12-31;2020-12-31;2020-09-30;ridge;ridge;0.1026709;0.04267071;10;0.15;1.0;prediction_scaled;1.0;0.0;0.0
always_linear;2021-03-31;2021-03-31;2020-12-31;ridge;ridge;0.09169043;0.23995814;10;0.15;1.0;prediction_scaled;1.0;0.0;0.0
always_linear;2021-06-30;2021-06-30;2021-03-31;ridge;ridge;0.08092606;0.06384377;10;0.15;1.0;prediction_scaled;1.0;0.0;0.0
always_linear;2021-09-30;2021-09-30;2021-06-30;ridge;ridge;0.08366645;0.25512797;9;0.15;1.0;prediction_scaled;1.0;0.0;0.0
always_linear;2021-12-31;2021-12-31;2021-09-30;ridge;ridge;0.06780505;-0.12548035;10;0.15;1.0;prediction_scaled;1.0;0.0;0.0
always_linear;2022-03-31;2022-03-31;2021-12-31;ridge;ridge;0.11458248;-0.08566764;10;0.15;1.0;prediction_scaled;1.0;1.0;1.0
always_linear;2022-06-30;2022-06-30;2022-03-31;ridge;ridge;0.02899473;-0.0370741;13;0.15;1.0;prediction_scaled;0.0;1.0;1.0
always_linear;2022-09-30;2022-09-30;2022-06-30;ridge;ridge;-0.01703748;0.11796649;11;0.15;1.0;prediction_scaled;0.0;1.0;1.0
always_linear;2022-12-31;2022-12-31;2022-09-30;ridge;ridge;0.069082;0.24746905;9;0.15;1.0;prediction_scaled;1.0;1.0;1.0
always_linear;2023-03-31;2023-03-31;2022-12-31;ridge;ridge;0.12422675;0.60687773;9;0.15;1.0;prediction_scaled;0.0;1.0;1.0
always_linear;2023-06-30;2023-06-30;2023-03-31;ridge;ridge;0.17763083;0.32317371;8;0.15;1.0;prediction_scaled;0.0;0.0;1.0
always_linear;2023-09-30;2023-09-30;2023-06-30;ridge;ridge;0.2442814;-0.09653008;8;0.15;1.0;prediction_scaled;1.0;0.0;1.0
always_linear;2023-12-31;2023-12-31;2023-09-30;ridge;ridge;0.04587026;0.04120447;9;0.15;1.0;prediction_scaled;0.0;0.0;1.0
always_linear;2024-03-31;2024-03-31;2023-12-31;ridge;ridge;0.04710422;-0.0330926;8;0.15;1.0;prediction_scaled;0.0;0.0;1.0
always_linear;2024-06-30;2024-06-30;2024-03-31;ridge;ridge;0.0200828;-0.07606122;8;0.15;1.0;prediction_scaled;0.0;0.0;1.0
always_linear;2024-09-30;2024-09-30;2024-06-30;ridge;ridge;-0.0220248;-0.10164559;8;0.15;1.0;prediction_scaled;0.0;0.0;1.0
always_linear;2024-12-31;2024-12-31;2024-09-30;ridge;ridge;-0.04333122;0.13273843;8;0.15;1.0;prediction_scaled;1.0;0.0;1.0
always_linear;2025-03-31;2025-03-31;2024-12-31;ridge;ridge;0.00374179;-0.09766456;8;0.15;1.0;prediction_scaled;0.0;1.0;1.0
always_linear;2025-06-30;2025-06-30;2025-03-31;ridge;ridge;-0.01225358;0.05468984;7;0.15;1.0;prediction_scaled;0.0;0.0;1.0
always_linear;2025-09-30;2025-09-30;2025-06-30;ridge;ridge;0.00403919;0.02438337;9;0.15;1.0;prediction_scaled;0.0;0.0;1.0
always_transformer;2018-12-31;2018-12-31;2018-09-30;patchtst_global;patchtst_global;0.01888663;0.13064054;10;0.15;1.0;prediction_scaled;1.0;0.0;0.0
always_transformer;2019-03-31;2019-03-31;2018-12-31;patchtst_global;patchtst_global;0.32921473;-0.08681915;10;0.15;1.0;prediction_scaled;0.0;0.0;0.0
always_transformer;2019-06-30;2019-06-30;2019-03-31;patchtst_global;patchtst_global;0.18994271;0.01560942;12;0.15;1.0;prediction_scaled;0.0;0.0;0.0
always_transformer;2019-09-30;2019-09-30;2019-06-30;patchtst_global;patchtst_global;0.0779838;0.04154078;9;0.15;1.0;prediction_scaled;0.0;0.0;0.0
always_transformer;2019-12-31;2019-12-31;2019-09-30;patchtst_global;patchtst_global;0.08975845;-0.03614607;9;0.15;1.0;prediction_scaled;0.0;0.0;0.0
always_transformer;2020-03-31;2020-03-31;2019-12-31;patchtst_global;patchtst_global;0.01850793;0.22570977;10;0.15;1.0;prediction_scaled;1.0;0.0;1.0
always_transformer;2020-06-30;2020-06-30;2020-03-31;patchtst_global;patchtst_global;0.11092641;0.25409856;9;0.15;1.0;prediction_scaled;0.0;0.0;1.0
always_transformer;2020-09-30;2020-09-30;2020-06-30;patchtst_global;patchtst_global;0.14267221;-0.01576967;9;0.15;1.0;prediction_scaled;0.0;0.0;0.0
always_transformer;2020-12-31;2020-12-31;2020-09-30;patchtst_global;patchtst_global;0.18339512;0.06333946;10;0.15;1.0;prediction_scaled;1.0;0.0;0.0
always_transformer;2021-03-31;2021-03-31;2020-12-31;patchtst_global;patchtst_global;0.11513148;0.17466496;10;0.15;1.0;prediction_scaled;1.0;0.0;0.0
always_transformer;2021-06-30;2021-06-30;2021-03-31;patchtst_global;patchtst_global;0.10185213;0.010097;10;0.15;1.0;prediction_scaled;1.0;0.0;0.0
always_transformer;2021-09-30;2021-09-30;2021-06-30;patchtst_global;patchtst_global;0.05495688;0.11167558;9;0.15;1.0;prediction_scaled;1.0;0.0;0.0
always_transformer;2021-12-31;2021-12-31;2021-09-30;patchtst_global;patchtst_global;0.04443873;-0.09485758;10;0.15;1.0;prediction_scaled;1.0;0.0;0.0
always_transformer;2022-03-31;2022-03-31;2021-12-31;patchtst_global;patchtst_global;0.01936858;-0.08844006;10;0.15;1.0;prediction_scaled;1.0;1.0;1.0
always_transformer;2022-06-30;2022-06-30;2022-03-31;patchtst_global;patchtst_global;0.02335462;0.09002091;8;0.15;1.0;prediction_scaled;0.0;1.0;1.0
always_transformer;2022-09-30;2022-09-30;2022-06-30;patchtst_global;patchtst_global;-0.04184353;0.22935005;12;0.15;1.0;prediction_scaled;0.0;1.0;1.0
always_transformer;2022-12-31;2022-12-31;2022-09-30;patchtst_global;patchtst_global;0.10015756;0.33139752;10;0.15;1.0;prediction_scaled;1.0;1.0;1.0
always_transformer;2023-03-31;2023-03-31;2022-12-31;patchtst_global;patchtst_global;0.3813392;0.19103104;8;0.15;1.0;prediction_scaled;0.0;1.0;1.0
always_transformer;2023-06-30;2023-06-30;2023-03-31;patchtst_global;patchtst_global;0.48407478;0.41726454;7;0.15;1.0;prediction_scaled;0.0;0.0;1.0
always_transformer;2023-09-30;2023-09-30;2023-06-30;patchtst_global;patchtst_global;0.54887803;-0.0132832;7;0.15;1.0;prediction_scaled;1.0;0.0;1.0
always_transformer;2023-12-31;2023-12-31;2023-09-30;patchtst_global;patchtst_global;-0.07437092;0.05733967;8;0.15;1.0;prediction_scaled;0.0;0.0;1.0
always_transformer;2024-03-31;2024-03-31;2023-12-31;patchtst_global;patchtst_global;0.07020457;-0.06098016;8;0.15;1.0;prediction_scaled;0.0;0.0;1.0
always_transformer;2024-06-30;2024-06-30;2024-03-31;patchtst_global;patchtst_global;0.02163246;-0.06174479;10;0.15;1.0;prediction_scaled;0.0;0.0;1.0
always_transformer;2024-09-30;2024-09-30;2024-06-30;patchtst_global;patchtst_global;-0.00119726;-0.08466104;9;0.15;1.0;prediction_scaled;0.0;0.0;1.0
always_transformer;2024-12-31;2024-12-31;2024-09-30;patchtst_global;patchtst_global;0.05468494;0.0973113;9;0.15;1.0;prediction_scaled;1.0;0.0;1.0
always_transformer;2025-03-31;2025-03-31;2024-12-31;patchtst_global;patchtst_global;0.13664097;-0.08654685;8;0.15;1.0;prediction_scaled;0.0;1.0;1.0
always_transformer;2025-06-30;2025-06-30;2025-03-31;patchtst_global;patchtst_global;0.06027547;0.03344357;9;0.15;1.0;prediction_scaled;0.0;0.0;1.0
always_transformer;2025-09-30;2025-09-30;2025-06-30;patchtst_global;patchtst_global;0.07403699;-0.01373356;8;0.15;1.0;prediction_scaled;0.0;0.0;1.0
selector_composite;2018-12-31;2018-12-31;2018-09-30;ridge;ridge;0.03789365;0.12131946;11;0.15;1.0;prediction_scaled;1.0;0.0;0.0
selector_composite;2019-03-31;2019-03-31;2018-12-31;kalman_tvp;kalman_tvp;0.03469023;0.05462858;11;0.15;1.0;prediction_scaled;0.0;0.0;0.0
selector_composite;2019-06-30;2019-06-30;2019-03-31;kalman_tvp;kalman_tvp;0.0338504;0.09930331;13;0.15;1.0;prediction_scaled;0.0;0.0;0.0
