strategy;regime_dimension;regime_value;n_periods;mean_return;annualized_return;annualized_vol;sharpe;sortino;max_drawdown;calmar;var_5_return;cvar_5_return
always_linear;state_infl_high;0.0;17;0.06915197;0.25335044;0.34415156;0.73615951;3.8881407;-0.27582455;0.91852029;-0.09846077;-0.10164559
always_linear;state_infl_high;1.0;11;0.07981098;0.31849139;0.27660944;1.15141186;7.73796978;-0.20039839;1.5892912;-0.11100522;-0.12548035
always_transformer;state_infl_high;0.0;17;0.05195866;0.18586085;0.28627991;0.64922771;3.03544635;-0.26334527;0.70576871;-0.08660131;-0.08681915
always_transformer;state_infl_high;1.0;11;0.08620503;0.3562923;0.26049987;1.36772543;3.92755303;-0.17490843;2.03702186;-0.09164882;-0.09485758
selector_composite;state_infl_high;0.0;17;0.0558357;0.19556212;0.3093479;0.63217536;2.83375959;-0.33400273;0.58551054;-0.10975412;-0.13991804
selector_composite;state_infl_high;1.0;11;0.06150699;0.23647498;0.25553881;0.92539751;1.65074751;-0.24041345;0.9836179;-0.12761985;-0.16583745
selector_rule_based;state_infl_high;0.0;17;0.06833563;0.26633849;0.27107368;0.98253172;4.53725244;-0.26334527;1.01136615;-0.0850382;-0.08654685
selector_rule_based;state_infl_high;1.0;11;0.107551;0.43755444;0.36225041;1.20787839;4.24875196;-0.18666136;2.34410824;-0.09809543;-0.10775079
always_linear;state_vol_high_auto;0.0;22;0.05916351;0.23104902;0.2299848;1.00462735;3.33117424;-0.24503728;0.94291376;-0.10138981;-0.11356297
always_linear;state_vol_high_auto;1.0;6;0.12531783;0.46894064;0.54220443;0.86487792;7.30791733;-0.09766456;4.80154338;-0.09466533;-0.09766456
always_transformer;state_vol_high_auto;0.0;22;0.05294272;0.1976438;0.25490077;0.77537545;2.97641669;-0.19354952;1.02115365;-0.08671125;-0.09083837
always_transformer;state_vol_high_auto;1.0;6;0.11113544;0.46287927;0.34435781;1.34418114;172.8836544;-0.08654685;5.3483089;-0.08796675;-0.08844006
selector_composite;state_vol_high_auto;0.0;22;0.04730338;0.17847448;0.21998483;0.81130358;2.18032816;-0.2787685;0.6402247;-0.08923749;-0.11466014
selector_composite;state_vol_high_auto;1.0;6;0.09751826;0.34056182;0.47353757;0.71918649;3.64176834;-0.10221314;3.3318792;-0.14993137;-0.16583745
selector_rule_based;state_vol_high_auto;0.0;22;0.07627064;0.29717426;0.30183547;0.98455712;3.77037492;-0.19354952;1.53539137;-0.08351523;-0.09620592
selector_rule_based;state_vol_high_auto;1.0;6;0.11113544;0.46287927;0.34435781;1.34418114;172.8836544;-0.08654685;5.3483089;-0.08796675;-0.08844006
always_linear;state_dd_stress;0.0;11;0.07220577;0.29840727;0.21197394;1.40775451;;-0.12548035;2.3781194;-0.05618477;-0.12548035
always_linear;state_dd_stress;1.0;17;0.07407299;0.26586108;0.37196985;0.71473826;4.60684268;-0.24503728;1.08498219;-0.09846077;-0.10164559
always_transformer;state_dd_stress;0.0;11;0.02854321;0.10480578;0.17350303;0.60405735;1.3607107;-0.09485758;1.10487506;-0.09083837;-0.09485758
always_transformer;state_dd_stress;1.0;17;0.08926925;0.35414618;0.31836356;1.1123955;5.40793459;-0.19354952;1.82974457;-0.08692549;-0.08844006
selector_composite;state_dd_stress;0.0;11;0.04936513;0.20132089;0.14599708;1.37893778;43.20156731;-0.08940225;2.25185489;-0.08775467;-0.08940225
selector_composite;state_dd_stress;1.0;17;0.0636922;0.21808446;0.35056767;0.62208948;2.1796308;-0.2787685;0.78231383;-0.14510192;-0.16583745
selector_rule_based;state_dd_stress;0.0;11;0.07519904;0.29606637;0.3003426;0.98576217;2.07523054;-0.10775079;2.7476955;-0.05731049;-0.10775079
selector_rule_based;state_dd_stress;1.0;17;0.08926925;0.35414618;0.31836356;1.1123955;5.40793459;-0.19354952;1.82974457;-0.08692549;-0.08844006
