forecast_date;strategy;model_requested;model_used;state_infl_high;state_vol_high_auto;state_dd_stress;selector_scope;selector_score;selector_mse;selector_spearman;selector_tail_ratio;selector_n_dates;selector_n_obs
2018-12-31;always_linear;ridge;ridge;1.0;0.0;0.0;not_used;;;;;;
2018-12-31;always_transformer;patchtst_global;patchtst_global;1.0;0.0;0.0;not_used;;;;;;
2018-12-31;selector_composite;ridge;ridge;1.0;0.0;0.0;fallback_no_history;;;;;0.0;0.0
2018-12-31;selector_rule_based;catboost_lags_regimes;catboost_lags_regimes;1.0;0.0;0.0;rule_based;;;;;;
2019-03-31;always_linear;ridge;ridge;0.0;0.0;0.0;not_used;;;;;;
2019-03-31;always_transformer;patchtst_global;patchtst_global;0.0;0.0;0.0;not_used;;;;;;
2019-03-31;selector_composite;kalman_tvp;kalman_tvp;0.0;0.0;0.0;global_rolling;0.70226499;0.08661887;0.23001698;1.0;1.0;226.0
2019-03-31;selector_rule_based;ridge;ridge;0.0;0.0;0.0;rule_based;;;;;;
2019-06-30;always_linear;ridge;ridge;0.0;0.0;0.0;not_used;;;;;;
2019-06-30;always_transformer;patchtst_global;patchtst_global;0.0;0.0;0.0;not_used;;;;;;
2019-06-30;selector_composite;kalman_tvp;kalman_tvp;0.0;0.0;0.0;global_rolling;0.58757567;0.07041673;-0.04562398;1.0;2.0;454.0
2019-06-30;selector_rule_based;ridge;ridge;0.0;0.0;0.0;rule_based;;;;;;
2019-09-30;always_linear;ridge;ridge;0.0;0.0;0.0;not_used;;;;;;
2019-09-30;always_transformer;patchtst_global;patchtst_global;0.0;0.0;0.0;not_used;;;;;;
2019-09-30;selector_composite;kalman_tvp;kalman_tvp;0.0;0.0;0.0;global_rolling;0.50448433;0.06173213;0.01351126;1.13866271;3.0;681.0
2019-09-30;selector_rule_based;ridge;ridge;0.0;0.0;0.0;rule_based;;;;;;
2019-12-31;always_linear;ridge;ridge;0.0;0.0;0.0;not_used;;;;;;
2019-12-31;always_transformer;patchtst_global;patchtst_global;0.0;0.0;0.0;not_used;;;;;;
2019-12-31;selector_composite;rolling_ols;rolling_ols;0.0;0.0;0.0;regime_conditional;0.69980111;0.03891206;-0.0773216;0.93310406;3.0;683.0
2019-12-31;selector_rule_based;ridge;ridge;0.0;0.0;0.0;rule_based;;;;;;
2020-03-31;always_linear;ridge;ridge;1.0;0.0;1.0;not_used;;;;;;
2020-03-31;always_transformer;patchtst_global;patchtst_global;1.0;0.0;1.0;not_used;;;;;;
2020-03-31;selector_composite;elastic_net;elastic_net;1.0;0.0;1.0;global_rolling;0.79568309;0.04858794;0.10237616;1.0972288;5.0;1139.0
2020-03-31;selector_rule_based;patchtst_global;patchtst_global;1.0;0.0;1.0;rule_based;;;;;;
2020-06-30;always_linear;ridge;ridge;0.0;0.0;1.0;not_used;;;;;;
2020-06-30;always_transformer;patchtst_global;patchtst_global;0.0;0.0;1.0;not_used;;;;;;
2020-06-30;selector_composite;catboost_lags_regimes;catboost_lags_regimes;0.0;0.0;1.0;global_rolling;0.73014042;0.05054516;0.00126833;1.00832437;6.0;1368.0
2020-06-30;selector_rule_based;patchtst_global;patchtst_global;0.0;0.0;1.0;rule_based;;;;;;
2020-09-30;always_linear;ridge;ridge;0.0;0.0;0.0;not_used;;;;;;
2020-09-30;always_transformer;patchtst_global;patchtst_global;0.0;0.0;0.0;not_used;;;;;;
2020-09-30;selector_composite;elastic_net;elastic_net;0.0;0.0;0.0;regime_conditional;0.97080013;0.03968811;0.10237616;0.9051908;4.0;913.0
2020-09-30;selector_rule_based;ridge;ridge;0.0;0.0;0.0;rule_based;;;;;;
2020-12-31;always_linear;ridge;ridge;1.0;0.0;0.0;not_used;;;;;;
2020-12-31;always_transformer;patchtst_global;patchtst_global;1.0;0.0;0.0;not_used;;;;;;
2020-12-31;selector_composite;catboost_lags_regimes;catboost_lags_regimes;1.0;0.0;0.0;global_rolling;0.82784563;0.04827541;0.00943719;1.05906606;8.0;1824.0
2020-12-31;selector_rule_based;catboost_lags_regimes;catboost_lags_regimes;1.0;0.0;0.0;rule_based;;;;;;
2021-03-31;always_linear;ridge;ridge;1.0;0.0;0.0;not_used;;;;;;
2021-03-31;always_transformer;patchtst_global;patchtst_global;1.0;0.0;0.0;not_used;;;;;;
2021-03-31;selector_composite;elastic_net;elastic_net;1.0;0.0;0.0;global_rolling;0.82757128;0.04134899;-0.00790842;0.94802159;8.0;1827.0
2021-03-31;selector_rule_based;catboost_lags_regimes;catboost_lags_regimes;1.0;0.0;0.0;rule_based;;;;;;
2021-06-30;always_linear;ridge;ridge;1.0;0.0;0.0;not_used;;;;;;
2021-06-30;always_transformer;patchtst_global;patchtst_global;1.0;0.0;0.0;not_used;;;;;;
2021-06-30;selector_composite;elastic_net;elastic_net;1.0;0.0;0.0;global_rolling;0.49018768;0.03961537;0.0183551;0.93677082;8.0;1827.0
2021-06-30;selector_rule_based;catboost_lags_regimes;catboost_lags_regimes;1.0;0.0;0.0;rule_based;;;;;;
2021-09-30;always_linear;ridge;ridge;1.0;0.0;0.0;not_used;;;;;;
2021-09-30;always_transformer;patchtst_global;patchtst_global;1.0;0.0;0.0;not_used;;;;;;
2021-09-30;selector_composite;rolling_ols;rolling_ols;1.0;0.0;0.0;regime_conditional;0.46458483;0.04579979;0.0645113;1.1382542;3.0;685.0
2021-09-30;selector_rule_based;catboost_lags_regimes;catboost_lags_regimes;1.0;0.0;0.0;rule_based;;;;;;
2021-12-31;always_linear;ridge;ridge;1.0;0.0;0.0;not_used;;;;;;
2021-12-31;always_transformer;patchtst_global;patchtst_global;1.0;0.0;0.0;not_used;;;;;;
2021-12-31;selector_composite;rolling_ols;rolling_ols;1.0;0.0;0.0;regime_conditional;0.48530983;0.04634054;0.09720519;1.05080983;4.0;912.0
2021-12-31;selector_rule_based;catboost_lags_regimes;catboost_lags_regimes;1.0;0.0;0.0;rule_based;;;;;;
2022-03-31;always_linear;ridge;ridge;1.0;1.0;1.0;not_used;;;;;;
2022-03-31;always_transformer;patchtst_global;patchtst_global;1.0;1.0;1.0;not_used;;;;;;
2022-03-31;selector_composite;catboost_lags_regimes;catboost_lags_regimes;1.0;1.0;1.0;global_rolling;0.67705724;0.04840168;0.06582513;1.03392622;8.0;1822.0
2022-03-31;selector_rule_based;patchtst_global;patchtst_global;1.0;1.0;1.0;rule_based;;;;;;
