forecast_date;model_used;prev_model_used;model_switch;regime_break;switch_around_regime_break;state_infl_high;state_vol_high_auto;state_dd_stress;state_infl_high_changed;state_vol_high_auto_changed;state_dd_stress_changed
2021-03-31;catboost_lags_regimes;;False;False;False;1.0;0.0;0.0;False;False;False
2021-06-30;catboost_lags_regimes;catboost_lags_regimes;False;False;False;1.0;0.0;0.0;False;False;False
2021-09-30;catboost_lags_regimes;catboost_lags_regimes;False;False;False;1.0;0.0;0.0;False;False;False
2021-12-31;catboost_lags_regimes;catboost_lags_regimes;False;False;False;1.0;0.0;0.0;False;False;False
2022-03-31;patchtst_global;catboost_lags_regimes;True;True;True;1.0;1.0;1.0;False;True;True
2022-06-30;patchtst_global;patchtst_global;False;True;False;0.0;1.0;1.0;True;False;False
2022-09-30;patchtst_global;patchtst_global;False;False;False;0.0;1.0;1.0;False;False;False
2022-12-31;patchtst_global;patchtst_global;False;True;False;1.0;1.0;1.0;True;False;False
2023-03-31;patchtst_global;patchtst_global;False;True;False;0.0;1.0;1.0;True;False;False
2023-06-30;patchtst_global;patchtst_global;False;True;False;0.0;0.0;1.0;False;True;False
2023-09-30;patchtst_global;patchtst_global;False;True;False;1.0;0.0;1.0;True;False;False
2023-12-31;patchtst_global;patchtst_global;False;True;False;0.0;0.0;1.0;True;False;False
2024-03-31;patchtst_global;patchtst_global;False;False;False;0.0;0.0;1.0;False;False;False
2024-06-30;patchtst_global;patchtst_global;False;False;False;0.0;0.0;1.0;False;False;False
2024-09-30;patchtst_global;patchtst_global;False;False;False;0.0;0.0;1.0;False;False;False
2024-12-31;patchtst_global;patchtst_global;False;True;False;1.0;0.0;1.0;True;False;False
2025-03-31;patchtst_global;patchtst_global;False;True;False;0.0;1.0;1.0;True;True;False
2025-06-30;patchtst_global;patchtst_global;False;True;False;0.0;0.0;1.0;False;True;False
2025-09-30;patchtst_global;patchtst_global;False;False;False;0.0;0.0;1.0;False;False;False
