strategy;forecast_date;turnover;n_entered;n_exited;n_assets
always_linear;2018-12-31;;;;11
always_linear;2019-03-31;0.74193318;10.0;9.0;12
always_linear;2019-06-30;0.38769044;5.0;5.0;12
always_linear;2019-09-30;0.50568406;5.0;6.0;11
always_linear;2019-12-31;0.59550787;7.0;7.0;11
always_linear;2020-03-31;1.0;7.0;11.0;7
always_linear;2020-06-30;0.88510097;11.0;6.0;12
always_linear;2020-09-30;0.9924965;8.0;11.0;9
always_linear;2020-12-31;0.60498177;4.0;3.0;10
always_linear;2021-03-31;0.7167782;8.0;8.0;10
always_linear;2021-06-30;0.39601852;5.0;5.0;10
always_linear;2021-09-30;0.56594421;5.0;6.0;9
always_linear;2021-12-31;0.94625854;9.0;8.0;10
always_linear;2022-03-31;0.63579345;6.0;6.0;10
always_linear;2022-06-30;0.68748147;7.0;4.0;13
always_linear;2022-09-30;0.62030278;6.0;8.0;11
always_linear;2022-12-31;0.72655647;7.0;9.0;9
always_linear;2023-03-31;0.50724973;4.0;4.0;9
always_linear;2023-06-30;0.67005503;5.0;6.0;8
always_linear;2023-09-30;0.25557973;2.0;2.0;8
always_linear;2023-12-31;0.35658341;4.0;3.0;9
always_linear;2024-03-31;0.45;3.0;4.0;8
always_linear;2024-06-30;0.3;2.0;2.0;8
always_linear;2024-09-30;0.45;3.0;3.0;8
always_linear;2024-12-31;0.75630261;6.0;6.0;8
always_linear;2025-03-31;0.89735931;6.0;6.0;8
always_linear;2025-06-30;0.25264069;2.0;3.0;7
always_linear;2025-09-30;0.45061081;4.0;2.0;9
always_transformer;2018-12-31;;;;10
always_transformer;2019-03-31;0.94529022;8.0;8.0;10
always_transformer;2019-06-30;1.0;12.0;10.0;12
always_transformer;2019-09-30;1.0;9.0;12.0;9
always_transformer;2019-12-31;1.0;9.0;9.0;9
always_transformer;2020-03-31;1.0;10.0;9.0;10
always_transformer;2020-06-30;0.710197;7.0;8.0;9
always_transformer;2020-09-30;0.78015636;7.0;7.0;9
always_transformer;2020-12-31;1.0;10.0;9.0;10
always_transformer;2021-03-31;1.0;10.0;10.0;10
always_transformer;2021-06-30;0.7536419;5.0;5.0;10
always_transformer;2021-09-30;0.99898899;8.0;9.0;9
always_transformer;2021-12-31;1.0;10.0;9.0;10
always_transformer;2022-03-31;0.98815634;9.0;9.0;10
always_transformer;2022-06-30;0.62314255;5.0;7.0;8
always_transformer;2022-09-30;0.7;10.0;6.0;12
always_transformer;2022-12-31;0.90581057;7.0;9.0;10
always_transformer;2023-03-31;0.92183052;7.0;9.0;8
always_transformer;2023-06-30;0.85;6.0;7.0;7
always_transformer;2023-09-30;0.7;5.0;5.0;7
always_transformer;2023-12-31;1.0;8.0;7.0;8
always_transformer;2024-03-31;1.0;8.0;8.0;8
always_transformer;2024-06-30;1.0;10.0;8.0;10
always_transformer;2024-09-30;0.97726508;8.0;9.0;9
always_transformer;2024-12-31;0.72964715;6.0;6.0;9
always_transformer;2025-03-31;0.74274818;6.0;7.0;8
always_transformer;2025-06-30;0.71819156;6.0;5.0;9
always_transformer;2025-09-30;0.82463766;6.0;7.0;8
selector_composite;2018-12-31;;;;11
selector_composite;2019-03-31;0.59193318;8.0;8.0;11
selector_composite;2019-06-30;0.52052567;8.0;6.0;13
selector_composite;2019-09-30;0.84480077;8.0;11.0;10
selector_composite;2019-12-31;1.0;9.0;10.0;9
selector_composite;2020-03-31;1.0;10.0;9.0;10
selector_composite;2020-06-30;1.0;8.0;10.0;8
selector_composite;2020-09-30;0.71091103;7.0;5.0;10
selector_composite;2020-12-31;0.9479164;8.0;9.0;9
selector_composite;2021-03-31;1.0;11.0;9.0;11
selector_composite;2021-06-30;0.40117105;4.0;6.0;9
selector_composite;2021-09-30;1.0;9.0;9.0;9
selector_composite;2021-12-31;0.87702147;10.0;7.0;12
selector_composite;2022-03-31;0.82941055;9.0;10.0;11
selector_composite;2022-06-30;1.0;9.0;11.0;9
selector_composite;2022-09-30;0.62512896;5.0;6.0;8
selector_composite;2022-12-31;1.0;10.0;8.0;10
selector_composite;2023-03-31;0.94226579;9.0;9.0;10
selector_composite;2023-06-30;0.83728745;5.0;7.0;8
selector_composite;2023-09-30;0.85;7.0;7.0;8
selector_composite;2023-12-31;1.0;9.0;8.0;9
selector_composite;2024-03-31;1.0;9.0;9.0;9
selector_composite;2024-06-30;1.0;8.0;9.0;8
selector_composite;2024-09-30;1.0;9.0;8.0;9
selector_composite;2024-12-31;0.7;7.0;7.0;9
selector_composite;2025-03-31;1.0;9.0;9.0;9
selector_composite;2025-06-30;0.65051461;4.0;6.0;7
selector_composite;2025-09-30;0.64092217;7.0;4.0;10
selector_rule_based;2018-12-31;;;;10
selector_rule_based;2019-03-31;1.0;12.0;10.0;12
selector_rule_based;2019-06-30;0.38769044;5.0;5.0;12
selector_rule_based;2019-09-30;0.50568406;5.0;6.0;11
selector_rule_based;2019-12-31;0.59550787;7.0;7.0;11
selector_rule_based;2020-03-31;0.46168286;5.0;6.0;10
selector_rule_based;2020-06-30;0.710197;7.0;8.0;9
selector_rule_based;2020-09-30;0.85;8.0;8.0;9
selector_rule_based;2020-12-31;0.97961762;8.0;8.0;9
selector_rule_based;2021-03-31;0.79069757;8.0;7.0;10
selector_rule_based;2021-06-30;0.91564421;9.0;9.0;10
selector_rule_based;2021-09-30;1.0;10.0;10.0;10
selector_rule_based;2021-12-31;0.9689808;9.0;9.0;10
selector_rule_based;2022-03-31;0.88203703;9.0;9.0;10
selector_rule_based;2022-06-30;0.62314255;5.0;7.0;8
